variant,run,idle_computed_objectives,predicted_steps,pred_plan_objectives,pred_plan_iter,pred_plan_runtime
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,79,"[47.0, 8.564756956761533]",5,"[8.436663081492428, 38.0]",3300,7.058225200000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,80,"[47.0, 8.564756956761533]",10,"[8.341299895736714, 33.0]",2500,7.649662200000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,81,"[126.0, 10.466784618349303]",2,"[8.121180963807763, 94.0]",100,1.1650593
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,82,"[126.0, 10.466784618349303]",5,"[8.511314183826284, 94.0]",100,0.971422
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,83,"[126.0, 10.466784618349303]",10,"[8.259554885923347, 109.0]",100,0.9591087
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,84,"[116.0, 9.098202237289371]",2,"[8.910640054049964, 59.0]",1000,6.7910487
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,85,"[116.0, 9.098202237289371]",5,"[8.779999718777242, 109.0]",200,2.6400365000000003
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,86,"[116.0, 9.098202237289371]",10,"[9.051676060607384, 104.0]",900,7.644552000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,87,"[113.0, 8.125375584861398]",2,"[8.114428545331084, 101.0]",700,6.5284339000000005
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,88,"[113.0, 8.125375584861398]",5,"[7.54980173069727, 104.0]",900,7.7005854000000005
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,89,"[113.0, 8.125375584861398]",10,"[7.99858012091004, 98.0]",3400,28.370535500000003
