variant,run,idle_computed_objectives,predicted_steps,pred_plan_objectives,pred_plan_iter,pred_plan_runtime
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,43,"[101.0, 10.263106645879274]",5,"[10.134551583689786, 82.0]",1100,7.907735700000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,44,"[101.0, 10.263106645879274]",10,"[10.243600832944018, 87.0]",1900,12.174366000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,45,"[45.0, 10.778487949111224]",2,"[10.509161200390947, 41.0]",7700,27.5765801
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,46,"[45.0, 10.778487949111224]",5,"[10.67906686634195, 39.0]",12800,36.151367900000004
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,47,"[45.0, 10.778487949111224]",10,"[10.635277890232544, 34.0]",28400,125.18924759900001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,48,"[84.0, 10.735104523748364]",2,"[10.697778701010902, 71.0]",3900,12.899517000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,49,"[84.0, 10.735104523748364]",5,"[10.631098104785801, 70.0]",2000,10.2847361
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,50,"[84.0, 10.735104523748364]",10,"[10.662406556694737, 73.0]",1000,6.9923691990000005
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,51,"[43.0, 10.870869444029573]",2,"[10.846311314719049, 36.0]",20000,44.2426754
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,52,"[43.0, 10.870869444029573]",5,"[10.811425141037002, 37.0]",26300,95.426489301
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,53,"[43.0, 10.870869444029573]",10,"[10.492231105930092, 32.0]",10600,12.772105999
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,54,"[48.0, 10.784671334930387]",2,"[10.39434794182889, 44.0]",9700,25.641148100000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,55,"[48.0, 10.784671334930387]",5,"[10.691545061517962, 42.0]",17200,33.0217301
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,56,"[48.0, 10.784671334930387]",10,"[10.521840894181453, 37.0]",7900,24.4603673
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,57,"[41.0, 10.80731348168258]",2,"[10.770237912477052, 38.0]",23700,46.073547501
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,58,"[41.0, 10.80731348168258]",5,"[10.633188202887444, 35.0]",14600,57.5562934
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,59,"[41.0, 10.80731348168258]",10,"[10.629007595685302, 30.0]",24100,83.81690810100001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,60,"[96.0, 10.776426032070715]",2,"[10.774363720435973, 83.0]",1000,5.134972100000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,61,"[96.0, 10.776426032070715]",5,"[10.490112922929022, 89.0]",400,3.3578574000000003
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,62,"[96.0, 10.776426032070715]",10,"[9.148055180214364, 61.0]",100,0.9369755000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,63,"[56.0, 10.483755806125457]",2,"[10.458288696968342, 53.0]",43600,99.7490022
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,64,"[56.0, 10.483755806125457]",5,"[10.413571391977037, 50.0]",12600,27.4719547
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,65,"[56.0, 10.483755806125457]",10,"[10.263106645879278, 45.0]",10200,39.6744002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,66,"[46.0, 10.515502958448343]",2,"[10.464661284650793, 35.0]",158000,96.26827460000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,67,"[46.0, 10.515502958448343]",5,"[10.415705140807653, 25.0]",150200,70.43908350000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,68,"[46.0, 10.515502958448343]",10,"[10.340761965382022, 34.0]",26500,70.29803650000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,69,"[84.0, 10.616455896506574]",2,"[10.4028960829944, 75.0]",300,2.8937539
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,70,"[84.0, 10.616455896506574]",5,"[10.276089951501886, 42.0]",13300,37.3717781
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,71,"[84.0, 10.616455896506574]",10,"[9.314160200840094, 72.0]",3900,24.917633000000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,72,"[92.0, 10.889931922833613]",2,"[10.881766378036831, 78.0]",3300,12.4468578
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,73,"[92.0, 10.889931922833613]",5,"[10.840846397642755, 45.0]",3900,14.927366800000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,74,"[92.0, 10.889931922833613]",10,"[10.783297555610691, 54.0]",5900,14.3830276
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,75,"[53.0, 10.477394832167766]",2,"[10.456163638002774, 50.0]",25400,39.6336111
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,76,"[53.0, 10.477394832167766]",5,"[10.304164326578638, 47.0]",5000,14.4452224
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,77,"[53.0, 10.477394832167766]",10,"[10.20665481287262, 42.0]",5300,20.1477964
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,78,"[107.0, 10.445531858286063]",2,"[10.347206935111753, 81.0]",4900,20.0649225
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,79,"[107.0, 10.445531858286063]",5,"[10.422103766206718, 98.0]",1200,7.336902200000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,80,"[107.0, 10.445531858286063]",10,"[10.189222095605743, 77.0]",1000,5.5466081
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,81,"[54.0, 10.844262293552205]",2,"[10.443404203516438, 51.0]",7500,20.6164723
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,82,"[54.0, 10.844262293552205]",5,"[10.774363720435973, 48.0]",5800,21.3959997
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,83,"[54.0, 10.844262293552205]",10,"[10.666574073672193, 43.0]",11600,51.2699281
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,84,"[37.0, 10.879950980281727]",2,"[10.545983964418767, 24.0]",168400,168.71318290000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,85,"[37.0, 10.879950980281727]",5,"[10.632027088001609, 31.0]",12200,35.919022500000004
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,86,"[37.0, 10.879950980281727]",10,"[10.851318404282086, 26.0]",27500,76.9405818
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,87,"[40.0, 10.654066632158314]",2,"[10.563996624921746, 37.0]",16100,28.695548600000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,88,"[40.0, 10.654066632158314]",5,"[10.572407600406626, 31.0]",69400,51.0580627
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,89,"[40.0, 10.654066632158314]",10,"[10.545047401095834, 28.0]",24800,83.2849216
