variant,run,solution_nr,runtime,evaluations,solution_rules,overlap_seeded_rules,seeded_rules
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",3,4,17.816,10000,37,35,171
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",3,5,17.816,10000,36,32,171
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",3,6,17.816,10000,34,32,171
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",3,7,17.816,10000,39,35,171
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",3,8,17.816,10000,38,34,171
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,0,3132.673,10000,26,25,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,1,3132.673,10000,38,31,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,2,3132.673,10000,28,23,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,3,3132.673,10000,27,24,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,4,3132.673,10000,29,24,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,5,3132.673,10000,34,28,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,6,3132.673,10000,36,30,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,7,3132.673,10000,31,25,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,8,3132.673,10000,30,25,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,9,3132.673,10000,32,26,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,10,3132.673,10000,33,27,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",4,11,3132.673,10000,37,31,220
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",5,0,15.132,10000,19,15,259
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",5,1,15.132,10000,30,24,259
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",5,2,15.132,10000,25,20,259
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",5,3,15.132,10000,20,15,259
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",5,4,15.132,10000,21,16,259
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",5,5,15.132,10000,28,23,259
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",5,6,15.132,10000,22,17,259
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",5,7,15.132,10000,24,19,259
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",5,8,15.132,10000,23,18,259
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",5,9,15.132,10000,29,24,259
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",6,0,19.859,10000,42,34,327
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",6,1,19.859,10000,36,29,327
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",6,2,19.859,10000,38,31,327
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",6,3,19.859,10000,39,32,327
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",6,4,19.859,10000,40,33,327
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",6,5,19.859,10000,41,34,327
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",7,0,16.305,10000,25,22,381
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",7,1,16.305,10000,34,26,381
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",7,2,16.305,10000,26,22,381
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",7,3,16.305,10000,27,23,381
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",7,4,16.305,10000,28,23,381
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",7,5,16.305,10000,29,23,381
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",7,6,16.305,10000,30,24,381
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",7,7,16.305,10000,31,25,381
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",7,8,16.305,10000,33,26,381
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",7,9,16.305,10000,32,25,381
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,0,15.866,10000,34,28,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,1,15.866,10000,21,16,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,2,15.866,10000,23,18,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,3,15.866,10000,22,18,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,4,15.866,10000,25,20,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,5,15.866,10000,24,19,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,6,15.866,10000,29,24,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,7,15.866,10000,27,22,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,8,15.866,10000,30,25,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,9,15.866,10000,32,26,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,10,15.866,10000,31,26,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,11,15.866,10000,33,28,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",8,12,15.866,10000,28,22,433
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,0,20.262,10000,50,41,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,1,20.262,10000,27,20,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,2,20.262,10000,48,39,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,3,20.262,10000,29,20,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,4,20.262,10000,35,24,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,5,20.262,10000,28,20,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,6,20.262,10000,34,24,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,7,20.262,10000,45,37,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,8,20.262,10000,40,26,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,9,20.262,10000,31,22,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,10,20.262,10000,46,38,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,11,20.262,10000,33,23,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,12,20.262,10000,38,26,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,13,20.262,10000,36,24,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,14,20.262,10000,39,25,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",9,15,20.262,10000,37,25,517
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,0,18.143,10000,39,31,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,1,18.143,10000,28,25,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,2,18.143,10000,30,26,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,3,18.143,10000,31,27,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,4,18.143,10000,29,25,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,5,18.143,10000,35,27,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,6,18.143,10000,34,29,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,7,18.143,10000,32,28,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,8,18.143,10000,37,30,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,9,18.143,10000,36,29,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,10,18.143,10000,33,28,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",10,11,18.143,10000,38,30,575
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",11,0,17.231,10000,39,33,630
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",11,1,17.231,10000,31,28,630
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",11,2,17.231,10000,33,29,630
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",11,3,17.231,10000,32,28,630
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",11,4,17.231,10000,34,31,630
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",11,5,17.231,10000,35,32,630
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",11,6,17.231,10000,36,33,630
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",11,7,17.231,10000,38,33,630
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",11,8,17.231,10000,37,32,630
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,0,13.858,10000,33,24,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,1,13.858,10000,16,15,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,2,13.858,10000,19,16,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,3,13.858,10000,18,16,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,4,13.858,10000,20,17,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,5,13.858,10000,17,15,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,6,13.858,10000,22,17,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,7,13.858,10000,21,17,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,8,13.858,10000,23,17,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,9,13.858,10000,27,21,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,10,13.858,10000,29,20,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,11,13.858,10000,26,18,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,12,13.858,10000,30,21,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,13,13.858,10000,32,24,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,14,13.858,10000,25,17,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",12,15,13.858,10000,24,18,666
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,0,16.962,10000,36,32,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,1,16.962,10000,22,19,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,2,16.962,10000,23,20,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,3,16.962,10000,27,22,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,4,16.962,10000,26,22,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,5,16.962,10000,34,30,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,6,16.962,10000,24,21,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,7,16.962,10000,31,27,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,8,16.962,10000,28,25,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,9,16.962,10000,25,21,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,10,16.962,10000,35,31,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,11,16.962,10000,30,25,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",13,12,16.962,10000,29,25,709
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,0,20.09,10000,48,41,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,1,20.09,10000,33,31,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,2,20.09,10000,34,32,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,3,20.09,10000,35,31,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,4,20.09,10000,46,39,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,5,20.09,10000,42,34,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,6,20.09,10000,40,33,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,7,20.09,10000,41,34,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,8,20.09,10000,47,40,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,9,20.09,10000,37,33,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,10,20.09,10000,36,32,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,11,20.09,10000,39,34,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",14,12,20.09,10000,38,34,764
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,0,16.659,10000,39,32,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,1,16.659,10000,27,25,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,2,16.659,10000,29,25,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,3,16.659,10000,28,25,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,4,16.659,10000,30,25,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,5,16.659,10000,34,28,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,6,16.659,10000,35,31,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,7,16.659,10000,33,27,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,8,16.659,10000,32,26,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,9,16.659,10000,38,32,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,10,16.659,10000,31,25,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,11,16.659,10000,36,31,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",15,12,16.659,10000,37,32,815
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",16,0,20.329,10000,46,40,881
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",16,1,20.329,10000,35,32,881
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",16,2,20.329,10000,37,33,881
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",16,3,20.329,10000,36,33,881
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",16,4,20.329,10000,39,34,881
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",16,5,20.329,10000,44,38,881
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",16,6,20.329,10000,42,36,881
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",16,7,20.329,10000,41,35,881
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,0,15.816,10000,38,33,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,1,15.816,10000,24,19,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,2,15.816,10000,26,24,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,3,15.816,10000,25,20,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,4,15.816,10000,34,30,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,5,15.816,10000,27,24,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,6,15.816,10000,32,29,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,7,15.816,10000,29,26,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,8,15.816,10000,31,29,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,9,15.816,10000,30,28,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,10,15.816,10000,28,25,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",17,11,15.816,10000,33,29,926
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,0,14.77,10000,23,23,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,1,14.77,10000,37,32,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,2,14.77,10000,24,23,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,3,14.77,10000,25,23,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,4,14.77,10000,36,31,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,5,14.77,10000,26,24,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,6,14.77,10000,27,25,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,7,14.77,10000,34,30,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,8,14.77,10000,30,27,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,9,14.77,10000,31,28,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,10,14.77,10000,28,26,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,11,14.77,10000,29,27,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,12,14.77,10000,33,29,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",18,13,14.77,10000,32,29,970
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,0,16.773,10000,43,35,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,1,16.773,10000,27,24,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,2,16.773,10000,28,25,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,3,16.773,10000,29,26,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,4,16.773,10000,41,34,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,5,16.773,10000,32,28,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,6,16.773,10000,38,30,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,7,16.773,10000,31,27,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,8,16.773,10000,33,28,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,9,16.773,10000,35,28,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,10,16.773,10000,34,28,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,11,16.773,10000,30,27,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,12,16.773,10000,42,35,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,13,16.773,10000,37,30,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",19,14,16.773,10000,36,29,1019
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,0,28.232,10000,76,68,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,1,28.232,10000,54,49,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,2,28.232,10000,57,48,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,3,28.232,10000,56,48,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,4,28.232,10000,71,64,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,5,28.232,10000,68,60,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,6,28.232,10000,65,58,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,7,28.232,10000,66,58,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,8,28.232,10000,59,49,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,9,28.232,10000,58,48,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,10,28.232,10000,64,57,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,11,28.232,10000,72,64,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,12,28.232,10000,55,49,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,13,28.232,10000,67,59,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,14,28.232,10000,62,55,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,15,28.232,10000,60,50,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,16,28.232,10000,74,66,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,17,28.232,10000,73,65,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",20,18,28.232,10000,61,54,1114
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,0,16.307,10000,27,23,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,1,16.307,10000,40,32,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,2,16.307,10000,30,25,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,3,16.307,10000,31,24,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,4,16.307,10000,28,23,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,5,16.307,10000,34,26,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,6,16.307,10000,33,25,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,7,16.307,10000,36,28,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,8,16.307,10000,29,23,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,9,16.307,10000,32,25,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,10,16.307,10000,39,32,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,11,16.307,10000,37,30,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",21,12,16.307,10000,38,30,1160
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",22,0,17.944,10000,43,39,1215
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",22,1,17.944,10000,28,26,1215
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",22,2,17.944,10000,29,25,1215
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",22,3,17.944,10000,31,30,1215
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",22,4,17.944,10000,38,34,1215
