variant,run,seconds,evaluations,length_avg,length_max,length_min,length_sum,plan_count
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.669,2300,76.29,157.0,59.0,7629.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.029,2400,77.3,157.0,59.0,7730.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.412,2500,73.98,155.0,57.0,7398.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.744,2600,71.13,93.0,57.0,7113.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.086,2700,68.69,93.0,57.0,6869.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.358,2800,65.97,93.0,51.0,6597.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.646,2900,67.29,93.0,51.0,6729.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.962,3000,67.14,93.0,51.0,6714.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.258,3100,65.74,93.0,51.0,6574.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.55,3200,64.64,93.0,51.0,6464.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.839,3300,63.36,79.0,51.0,6336.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.15,3400,63.37,79.0,50.0,6337.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.424,3500,62.86,79.0,50.0,6286.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.68,3600,63.78,78.0,46.0,6378.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.945,3700,63.49,77.0,45.0,6349.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.238,3800,62.64,77.0,45.0,6264.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.591,3900,61.62,77.0,45.0,6162.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.13,4000,59.35,77.0,45.0,5935.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.477,4100,58.62,77.0,45.0,5862.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.74,4200,56.18,77.0,44.0,5618.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.989,4300,57.54,77.0,44.0,5754.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.265,4400,58.9,79.0,44.0,5890.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.52,4500,56.66,79.0,43.0,5666.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.737,4600,58.49,79.0,43.0,5849.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.972,4700,58.39,78.0,43.0,5839.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.239,4800,57.93,78.0,42.0,5793.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.479,4900,56.69,78.0,42.0,5669.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.909,5000,56.03,76.0,42.0,5603.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,25.695,5100,55.71,76.0,41.0,5571.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,26.462,5200,56.44,76.0,41.0,5644.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.28,5300,55.65,77.0,41.0,5565.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.989,5400,57.01,77.0,41.0,5701.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,28.751,5500,57.56,77.0,39.0,5756.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,29.455,5600,57.9,77.0,39.0,5790.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,30.168,5700,57.74,77.0,39.0,5774.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.028,5800,57.58,75.0,39.0,5758.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.812,5900,54.19,73.0,38.0,5419.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.58,6000,52.25,73.0,38.0,5225.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,33.198,6100,52.25,73.0,38.0,5225.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.011,6200,53.58,73.0,38.0,5358.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.784,6300,54.72,71.0,38.0,5472.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,35.511,6400,54.86,71.0,38.0,5486.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,36.169,6500,53.14,71.0,36.0,5314.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,36.791,6600,52.31,71.0,36.0,5231.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,37.383,6700,49.37,71.0,36.0,4937.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,38.053,6800,49.7,67.0,36.0,4970.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,38.663,6900,50.09,67.0,36.0,5009.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,39.258,7000,49.0,67.0,36.0,4900.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,39.878,7100,49.14,67.0,36.0,4914.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,40.475,7200,50.16,67.0,36.0,5016.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,41.189,7300,50.73,68.0,35.0,5073.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,41.851,7400,50.8,68.0,35.0,5080.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,42.482,7500,50.48,68.0,35.0,5048.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,43.164,7600,51.21,68.0,35.0,5121.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,43.847,7700,52.19,71.0,35.0,5219.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,44.547,7800,50.98,71.0,35.0,5098.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,45.172,7900,49.16,71.0,35.0,4916.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,45.739,8000,47.39,71.0,34.0,4739.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,46.362,8100,49.82,71.0,34.0,4982.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,46.991,8200,49.15,71.0,34.0,4915.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,47.725,8300,50.13,71.0,34.0,5013.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,48.512,8400,50.72,72.0,34.0,5072.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,49.209,8500,49.34,71.0,34.0,4934.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,49.876,8600,48.84,70.0,34.0,4884.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,50.482,8700,48.62,70.0,33.0,4862.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,51.215,8800,47.24,70.0,33.0,4724.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,51.988,8900,47.88,70.0,33.0,4788.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,52.563,9000,47.81,70.0,33.0,4781.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,53.213,9100,48.08,70.0,33.0,4808.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,53.827,9200,47.89,67.0,31.0,4789.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,54.502,9300,47.97,67.0,31.0,4797.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,55.147,9400,47.03,67.0,31.0,4703.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,55.766,9500,46.73,67.0,31.0,4673.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,56.34,9600,46.13,67.0,31.0,4613.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,56.937,9700,45.96,67.0,30.0,4596.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,57.585,9800,46.72,67.0,30.0,4672.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,58.2,9900,44.21,67.0,30.0,4421.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,58.76,10000,43.32,67.0,30.0,4332.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,2.908,100,200.0,200.0,200.0,20000.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,6.245,200,181.75,200.0,162.0,18175.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,9.361,300,169.25,200.0,141.0,16925.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,12.239,400,156.12,200.0,129.0,15612.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,14.952,500,147.74,200.0,117.0,14774.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,17.852,600,140.89,200.0,109.0,14089.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,20.328,700,132.26,200.0,102.0,13226.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,22.612,800,128.11,200.0,98.0,12811.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,24.784,900,124.9,200.0,94.0,12490.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,26.748,1000,119.77,200.0,85.0,11977.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,28.708,1100,112.07,199.0,85.0,11207.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,30.6,1200,108.48,199.0,71.0,10848.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,32.336,1300,103.54,165.0,71.0,10354.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,34.122,1400,100.93,165.0,71.0,10093.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,35.817,1500,97.66,165.0,66.0,9766.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,37.295,1600,96.12,165.0,66.0,9612.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,38.844,1700,93.89,165.0,65.0,9389.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,40.309,1800,95.13,165.0,65.0,9513.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,41.745,1900,91.49,127.0,63.0,9149.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,43.192,2000,92.12,127.0,63.0,9212.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,44.642,2100,88.58,126.0,58.0,8858.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,46.102,2200,86.2,126.0,58.0,8620.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,47.495,2300,85.43,126.0,58.0,8543.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,48.708,2400,86.54,126.0,58.0,8654.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,50.015,2500,83.59,126.0,56.0,8359.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,51.225,2600,82.18,122.0,56.0,8218.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,52.357,2700,78.8,122.0,54.0,7880.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,53.533,2800,78.77,122.0,54.0,7877.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,54.618,2900,79.08,122.0,54.0,7908.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,55.77,3000,81.75,122.0,53.0,8175.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,57.045,3100,81.87,122.0,53.0,8187.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,58.202,3200,80.03,122.0,51.0,8003.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,59.418,3300,77.12,122.0,51.0,7712.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,60.562,3400,77.65,121.0,51.0,7765.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,61.594,3500,80.21,121.0,49.0,8021.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,62.792,3600,80.61,116.0,49.0,8061.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,64.064,3700,80.01,116.0,49.0,8001.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,65.188,3800,80.27,116.0,49.0,8027.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,66.326,3900,77.97,116.0,49.0,7797.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,67.551,4000,76.02,116.0,49.0,7602.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,68.645,4100,79.4,116.0,48.0,7940.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,69.746,4200,79.78,116.0,48.0,7978.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,70.75,4300,79.64,116.0,48.0,7964.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,71.885,4400,79.99,112.0,48.0,7999.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,72.957,4500,78.71,112.0,48.0,7871.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,74.133,4600,80.4,112.0,47.0,8040.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,75.095,4700,78.98,112.0,47.0,7898.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,76.136,4800,74.96,111.0,47.0,7496.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,77.147,4900,76.65,111.0,47.0,7665.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,78.162,5000,78.51,111.0,45.0,7851.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,79.185,5100,76.03,111.0,45.0,7603.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,80.212,5200,67.9,106.0,45.0,6790.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,81.131,5300,63.8,106.0,45.0,6380.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,82.079,5400,69.88,106.0,44.0,6988.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,83.069,5500,64.34,106.0,42.0,6434.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,83.855,5600,63.69,104.0,42.0,6369.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,84.692,5700,64.78,104.0,42.0,6478.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,85.539,5800,67.24,104.0,42.0,6724.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,86.389,5900,70.81,104.0,42.0,7081.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,87.477,6000,65.54,104.0,41.0,6554.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,88.472,6100,65.7,106.0,41.0,6570.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,89.359,6200,68.74,106.0,41.0,6874.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,90.167,6300,73.42,106.0,40.0,7342.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,91.129,6400,71.58,106.0,40.0,7158.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,92.051,6500,69.87,106.0,40.0,6987.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,93.024,6600,70.13,106.0,40.0,7013.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,93.926,6700,72.66,106.0,40.0,7266.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,94.909,6800,66.89,102.0,40.0,6689.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,95.755,6900,65.37,102.0,40.0,6537.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,96.524,7000,65.44,102.0,40.0,6544.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,97.409,7100,62.71,102.0,40.0,6271.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,98.254,7200,63.55,102.0,40.0,6355.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,99.172,7300,65.69,102.0,38.0,6569.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,100.025,7400,66.94,102.0,38.0,6694.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,100.953,7500,63.92,102.0,37.0,6392.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,101.715,7600,63.14,100.0,37.0,6314.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,102.604,7700,60.96,100.0,37.0,6096.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,103.478,7800,62.66,100.0,37.0,6266.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,104.47,7900,60.28,100.0,35.0,6028.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,105.239,8000,56.67,99.0,35.0,5667.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,106.089,8100,60.63,99.0,35.0,6063.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,106.92,8200,62.83,99.0,35.0,6283.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,107.838,8300,65.73,99.0,35.0,6573.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,108.739,8400,70.21,99.0,35.0,7021.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,109.685,8500,70.94,95.0,35.0,7094.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,110.575,8600,64.63,95.0,35.0,6463.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,111.502,8700,60.49,95.0,34.0,6049.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,112.335,8800,60.62,95.0,34.0,6062.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,113.132,8900,62.36,94.0,34.0,6236.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,113.933,9000,58.3,93.0,34.0,5830.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,114.739,9100,57.94,93.0,34.0,5794.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,115.534,9200,56.52,93.0,34.0,5652.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,116.231,9300,56.83,93.0,34.0,5683.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,116.961,9400,58.34,93.0,34.0,5834.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,117.694,9500,58.24,93.0,33.0,5824.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,118.531,9600,58.19,93.0,33.0,5819.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,119.263,9700,57.83,93.0,33.0,5783.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,120.016,9800,60.48,93.0,33.0,6048.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,120.734,9900,60.62,93.0,33.0,6062.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,121.583,10000,59.06,93.0,31.0,5906.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,2.783,100,200.0,200.0,200.0,20000.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,6.244,200,182.92,200.0,156.0,18292.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,9.315,300,169.41,200.0,136.0,16941.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,12.007,400,154.74,200.0,119.0,15474.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,14.758,500,146.39,200.0,102.0,14639.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,17.209,600,139.1,200.0,100.0,13910.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,19.712,700,132.93,198.0,95.0,13293.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,22.151,800,129.63,198.0,86.0,12963.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,24.519,900,120.19,194.0,78.0,12019.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,26.547,1000,111.39,169.0,75.0,11139.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,28.563,1100,104.3,162.0,72.0,10430.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,30.359,1200,105.37,162.0,70.0,10537.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,32.22,1300,105.86,162.0,70.0,10586.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,33.981,1400,105.32,153.0,70.0,10532.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,35.814,1500,102.69,153.0,69.0,10269.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,37.444,1600,99.15,153.0,69.0,9915.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,39.125,1700,95.13,153.0,65.0,9513.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,40.636,1800,86.0,146.0,64.0,8600.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,41.923,1900,78.88,94.0,64.0,7888.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,43.037,2000,77.81,94.0,62.0,7781.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,44.137,2100,77.53,94.0,62.0,7753.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,45.354,2200,75.84,93.0,62.0,7584.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,46.497,2300,73.92,93.0,60.0,7392.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,47.584,2400,75.5,94.0,60.0,7550.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,48.78,2500,74.69,93.0,60.0,7469.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,49.885,2600,73.92,93.0,60.0,7392.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,50.972,2700,72.72,91.0,59.0,7272.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,51.984,2800,71.57,91.0,59.0,7157.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,52.979,2900,70.11,91.0,58.0,7011.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,53.967,3000,68.47,91.0,58.0,6847.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,54.795,3100,65.6,89.0,57.0,6560.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,55.704,3200,65.26,89.0,55.0,6526.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,56.692,3300,62.85,68.0,55.0,6285.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,57.51,3400,62.37,68.0,55.0,6237.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,58.339,3500,62.3,68.0,55.0,6230.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,59.221,3600,62.3,67.0,55.0,6230.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,60.052,3700,62.17,67.0,54.0,6217.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,60.824,3800,61.58,68.0,54.0,6158.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,61.585,3900,61.47,68.0,54.0,6147.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,62.445,4000,62.22,68.0,54.0,6222.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,63.319,4100,60.38,67.0,53.0,6038.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,64.058,4200,59.87,67.0,51.0,5987.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,64.864,4300,59.37,66.0,50.0,5937.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,65.647,4400,58.55,66.0,50.0,5855.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,66.397,4500,57.74,65.0,50.0,5774.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,67.282,4600,57.9,65.0,50.0,5790.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,68.012,4700,57.77,65.0,50.0,5777.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,68.746,4800,57.45,66.0,48.0,5745.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,69.47,4900,57.82,66.0,48.0,5782.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,70.146,5000,57.29,66.0,48.0,5729.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,70.903,5100,56.34,66.0,48.0,5634.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,71.604,5200,55.04,66.0,48.0,5504.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,72.256,5300,55.27,66.0,48.0,5527.0,100
